name,type,breed,color,sex,size,date_of_birth,impound_number,kennel_number,animal_id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,intake_jurisdiction,outcome_jurisdiction,outcome_zip_code,location,sex_clean,age_at_outcome,age_at_intake
DUKE,DOG,PIT BULL,BLACK/WHITE,Neutered,MED,2012-07-17,K14-007382,DS71,A301681,2014-01-16,2014-01-17,1,STRAY,FIELD,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,WINDSOR,WINDSOR,95492,"95492
(38.541541, -122.809202)",Male,1.5041095890411,1.5013698630137
LUNA,DOG,PIT BULL,TAN,Spayed,MED,NA,K17-022998,DS81,A350424,2017-04-01,2017-04-14,13,CONFISCATE,OVER THE COUNTER_ARREST,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409
(38.458965, -122.630156)",Female,NA,NA
NA,CAT,DOMESTIC SH,GRAY TABBY,Female,SMALL,2004-09-03,K14-010373,SMM,A310342,2014-08-19,2014-09-03,15,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,NA,NA,NA,Male,10.0054794520548,9.96438356164384
*RUSSELL,DOG,ROTTWEILER/MIX,BLACK/RED,Neutered,MED,2011-04-29,K14-008514,DA35,A305517,2014-04-18,2014-05-17,29,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95405,"95405
(38.439152, -122.672541)",Male,3.05205479452055,2.97260273972603
LOLA,DOG,PIT BULL/MIX,TAN/WHITE,Spayed,PUPPY,2016-07-08,K16-020676,DA03,A342054,2016-09-08,2016-09-22,14,OWNER SURRENDER,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403
(38.486997, -122.749134)",Female,0.208219178082192,0.16986301369863
HONEY,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,2011-05-01,K15-014270,CS04,A271764,2015-06-03,2015-07-17,44,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95476,"95476
(38.280393, -122.464588)",Female,4.21369863013699,4.09315068493151
JAYDEN,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,2015-08-14,K15-016799,49ERPET,A329685,2015-11-14,2015-11-28,14,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,49ER PET,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403
(38.486997, -122.749134)",Male,0.29041095890411,0.252054794520548
NA,DOG,LABRADOR RETR/PIT BULL,BLACK/WHITE,Male,LARGE,NA,K15-016052,DS83,A327154,2015-09-19,2015-09-29,10,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,*SONOMA,NA,NA,NA,Male,NA,NA
NA,DOG,PIT BULL,GRAY/WHITE,Female,LARGE,2011-01-03,K13-007066,DS60,A300728,2013-12-18,2014-01-05,18,STRAY,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,NA,NA,NA,Male,3.00821917808219,2.95890410958904
NA,CAT,DOMESTIC SH,AGOUTI,Unknown,KITTN,NA,K16-020211,RECEIVING,A340691,2016-08-10,2016-08-10,0,STRAY,PHONE,EUTHANIZE,UNDERAGEWT,UNTREATABLE,UNTREATABLE,COUNTY,NA,NA,NA,Male,NA,NA
CLEO,CAT,DOMESTIC LH,BRN TABBY,Spayed,SMALL,2013-02-26,K14-007830,CS05,A303130,2014-02-22,2014-02-27,5,STRAY,COMM CAT,RETURN TO OWNER,MEDICAL,HEALTHY,HEALTHY,COUNTY,COUNTY,95407,"95407
(38.403734, -122.736775)",Female,1.0027397260274,0.989041095890411
ROXY,DOG,SCHNAUZER MIN/MIX,BLACK/BROWN,Spayed,PUPPY,2013-09-04,K14-007486,DA03,A301200,2014-01-28,2014-01-29,1,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403
(38.486997, -122.749134)",Female,0.402739726027397,0.4
*SANDY,DOG,DACHSHUND WH/MIX,TAN,Spayed,SMALL,2013-06-04,K14-011842,DA06,A314315,2014-11-25,2014-12-13,18,STRAY,PRIV_SHELT,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,95648,"95648
(38.900529, -121.296946)",Female,1.52602739726027,1.47671232876712
PATY,DOG,CHINESE SHARPEI/GERM SHEPHERD,BR BRINDLE,Spayed,MED,2007-06-18,K17-024278,DS72,A234789,2017-07-06,2017-07-06,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95407,"95407
(38.403734, -122.736775)",Female,10.0575342465753,10.0575342465753
NA,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,2016-07-08,K16-019694,CS06,A339396,2016-07-09,2016-07-09,0,STRAY,BORN_HERE,EUTHANIZE,UNDERAGEWT,UNTREATABLE,UNTREATABLE,SANTA ROSA,NA,NA,NA,Male,0.00273972602739726,0.00273972602739726
*CLYDE,DOG,SIBERIAN HUSKY,BLACK/WHITE,Neutered,LARGE,2014-04-17,K17-022925,DA40,A349982,2017-03-26,2017-04-18,23,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403
(38.486997, -122.749134)",Male,3.00547945205479,2.94246575342466
MIDNIGHT,CAT,DOMESTIC SH,BLACK,Neutered,MED,2009-03-22,K15-013567,WESTFARM,A234209,2015-04-14,2015-04-23,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,WINDSOR,*ROHNERT PARK,94928,"94928
(38.346718, -122.695947)",Male,6.09041095890411,6.06575342465753
NA,CAT,DOMESTIC LH,WHITE/BROWN,Unknown,SMALL,NA,K15-012653,CS06,A316390,2015-01-29,2015-02-10,12,CONFISCATE,FLD_CORONR,TRANSFER,FORGOTTEN,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,SANTA ROSA,95403,"95403
(38.486997, -122.749134)",Male,NA,NA
OSCAR,DOG,BLACK MOUTH CUR/MIX,BL BRINDLE/WHITE,Male,MED,NA,K17-025831,DQ115,A282293,2017-10-15,2017-10-15,0,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95404,"95404
(38.458384, -122.675588)",Male,NA,NA
CHOPPY,CAT,DOMESTIC SH,BUFF,Neutered,SMALL,2011-01-03,K14-007238,CA02,A301166,2014-01-03,2014-01-14,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*ROHNERT PARK,COUNTY,95462,"95462
(38.468829, -123.018829)",Male,3.03287671232877,3.0027397260274
SUGAR,DOG,AMER FOXHOUND,TRICOLOR,Female,SMALL,NA,K16-019862,DS68,A339894,2016-07-19,2016-07-21,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,COUNTY,COUNTY,95441,"95441
(38.729916, -122.883041)",Male,NA,NA
LITTLE GUY,DOG,GERM SHEPHERD/MIX,BLACK/TAN,Neutered,MED,2006-02-26,K16-017920,DS56,A333405,2016-02-26,2016-02-26,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95407,"95407
(38.403734, -122.736775)",Male,10.0054794520548,10.0054794520548
*KIERA,CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,2014-09-05,K14-011984,LOBBY,A314656,2014-12-05,2014-12-13,8,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401
(38.446019, -122.766748)",Female,0.271232876712329,0.249315068493151
BAILEY,DOG,GERM SHEPHERD/MIX,BLACK/TAN,Spayed,MED,2013-03-11,K16-018918,DS74,A337424,2016-05-19,2016-05-20,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95407,"95407
(38.403734, -122.736775)",Female,3.19452054794521,3.19178082191781
MOXIE,DOG,BEAGLE/WELSH CORGI PEM,TRICOLOR/WHITE,Spayed,MED,2014-09-15,K15-013989,DA46,A321708,2015-05-15,2015-06-03,19,OWNER SURRENDER,FIELD,TRANSFER,GREEN DOG,HEALTHY,HEALTHY,COUNTY,WINDSOR,95492,"95492
(38.541541, -122.809202)",Female,0.715068493150685,0.663013698630137
ROYAL,DOG,PIT BULL,BLUE/WHITE,Neutered,LARGE,NA,K14-012004,TRUCK,A280853,2014-12-08,2014-12-08,0,STRAY,PRIV_SHELT,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928
(38.346718, -122.695947)",Male,NA,NA
PADME,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,2015-04-23,K15-014110,LOBBY,A322369,2015-05-23,2015-07-07,45,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,WINDSOR,95492,"95492
(38.541541, -122.809202)",Female,0.205479452054795,0.0821917808219178
*PETUNIA,CAT,DOMESTIC SH,SLVR TABBY,Spayed,KITTN,2014-07-06,K14-011086,49ERPET,A312402,2014-10-02,2014-10-14,12,TRANSFER,MUN_SHELT,ADOPTION,49ER PET,HEALTHY,HEALTHY,OUT OF COUNTY,*PETALUMA,94954,"94954
(38.245316, -122.59871)",Female,0.273972602739726,0.241095890410959
*JAMES,DOG,CHIHUAHUA SH,TRICOLOR/WHITE,Neutered,TOY,2012-03-17,K16-017987,DA47,A333840,2016-03-05,2016-03-19,14,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,98020,"98020
(47.801416, -122.370709)",Male,4.00821917808219,3.96986301369863
*CANDY,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,2014-07-11,K14-010200,49ERPET,A309997,2014-08-09,2014-10-03,55,STRAY,OVER THE COUNTER,ADOPTION,49ER PET,TREATABLE/REHAB,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928
(38.346718, -122.695947)",Female,0.23013698630137,0.0794520547945206
NA,CAT,DOMESTIC MH,GRAY/WHITE,Male,SMALL,2016-07-29,K16-020366,CA03,A341189,2016-08-18,2016-08-19,1,STRAY,FIELD,TRANSFER,FORGOTTEN,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,SANTA ROSA,95403,"95403
(38.486997, -122.749134)",Male,0.0575342465753425,0.0547945205479452
ARCHY,DOG,GERM SHEPHERD,BLACK/BROWN,Neutered,LARGE,2013-07-06,K16-021747,DQ115,A304630,2016-12-01,2016-12-09,8,STRAY,FIELD,RETURN TO OWNER,FLD_PRVS,HEALTHY,HEALTHY,COUNTY,COUNTY,95407,"95407
(38.403734, -122.736775)",Male,3.43013698630137,3.40821917808219
SNOWY,DOG,POODLE MIN,WHITE,Spayed,SMALL,2012-05-15,K15-013274,DS62,A286563,2015-03-21,2015-03-21,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403
(38.486997, -122.749134)",Female,2.84931506849315,2.84931506849315
SARA,CAT,DOMESTIC LH,BRN TABBY,Spayed,SMALL,2007-01-07,K15-012344,CA03,A315551,2015-01-07,2015-01-31,24,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407
(38.403734, -122.736775)",Female,8.07123287671233,8.00547945205479
*KERMIT,DOG,AMER BULLDOG/MIX,BR BRINDLE/WHITE,Neutered,LARGE,2012-02-09,K15-017262,DI101,A331419,2015-12-29,2016-02-19,52,STRAY,FIELD,EUTHANIZE,AGGRESSIVE,HEALTHY,TREATABLE/MANAGEABLE,WINDSOR,NA,NA,NA,Male,4.03013698630137,3.88767123287671
COMPANA,DOG,CHIHUAHUA SH,TAN,Spayed,TOY,2010-05-06,K17-024323,DS50,A262508,2017-07-09,2017-07-11,2,CONFISCATE,FLD_CRUEL,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403
(38.486997, -122.749134)",Female,7.18630136986301,7.18082191780822
MADDIE,DOG,LABRADOR RETR,BLACK,Spayed,MED,2007-09-04,K14-011671,TRUCK,A281568,2014-11-10,2014-11-10,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,COUNTY,COUNTY,95404,"95404
(38.458384, -122.675588)",Female,7.18904109589041,7.18904109589041
GIRLIE GIRL,CAT,DOMESTIC LH,TORTIE,Spayed,SMALL,2008-03-19,K16-018143,CS05,A334508,2016-03-19,2016-06-18,91,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95404,"95404
(38.458384, -122.675588)",Female,8.25479452054794,8.00547945205479
LUCERO,DOG,YORKSHIRE TERR/CAVALIER SPAN,WHITE/TAN,Female,SMALL,2014-10-02,K15-014729,DS68,A323938,2015-07-02,2015-07-07,5,OWNER SURRENDER,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407
(38.403734, -122.736775)",Male,0.761643835616438,0.747945205479452
NA,DOG,GERM SHEPHERD,BROWN/BLACK,Female,LARGE,2011-07-31,K15-014800,DS49,A324073,2015-07-07,2015-07-31,24,STRAY,FIELD,TRANSFER,HSIMC,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,95470,"95470
(39.278782, -123.247219)",Male,4.0027397260274,3.93698630136986
MEOWINGTON,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,2012-05-27,K14-008140,CS05,A304254,2014-03-20,2014-03-27,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95492,"95492
(38.541541, -122.809202)",Male,1.83287671232877,1.81369863013699
NA,CAT,DOMESTIC MH,GRAY TABBY,Neutered,SMALL,NA,K15-013526,CS06,A319997,2015-04-10,2015-04-14,4,STRAY,COMM CAT,RETURN TO OWNER,COMMCAT,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472
(38.394388, -122.850998)",Male,NA,NA
PENNY,DOG,GERM SHEPHERD,BROWN/BLACK,Female,LARGE,2010-06-18,K15-014366,DS77,A299518,2015-06-07,2015-06-11,4,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,95446,"95446
(38.510032, -122.996796)",Male,4.98356164383562,4.97260273972603
*PETER,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,2016-04-18,K16-019342,WESTFARM,A338581,2016-06-18,2016-07-06,18,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,COUNTY,95409,"95409
(38.458965, -122.630156)",Male,0.216438356164384,0.167123287671233
HAPPY CAT,CAT,DOMESTIC SH,WHITE,Spayed,SMALL,2009-04-26,K14-008608,RECEIVING,A305976,2014-04-26,2014-04-26,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,WINDSOR,SANTA ROSA,95409,"95409
(38.458965, -122.630156)",Female,5.0027397260274,5.0027397260274
SYLVESTER,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,2015-04-09,K16-017410,CS04,A331687,2016-01-09,2016-01-15,6,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,WINDSOR,*HEALDSBURG,95448,"95448
(38.618857, -122.861927)",Male,0.76986301369863,0.753424657534247
HENRY,DOG,DACHSHUND LH,RED,Neutered,TOY,2012-07-11,K14-009767,DA46,A308971,2014-07-11,2014-07-19,8,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492
(38.541541, -122.809202)",Male,2.02191780821918,2
NA,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,SMALL,2017-05-04,K17-026187,CS06,A363876,2017-11-04,2017-11-07,3,STRAY,COMM CAT,TRANSFER,FORGOTTEN,UNKNOWN,TREATABLE/MANAGEABLE,COUNTY,SANTA ROSA,95403,"95403
(38.486997, -122.749134)",Male,0.512328767123288,0.504109589041096
CAPITAN,DOG,ALASKAN HUSKY,SABLE/WHITE,Male,LARGE,2016-04-18,K17-023164,TRUCK,A351225,2017-04-18,2017-04-18,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407
(38.403734, -122.736775)",Male,1,1
*TULIP,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,2012-09-23,K14-010923,CS05,A311966,2014-09-23,2014-10-17,24,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,COUNTY,95407,"95407
(38.403734, -122.736775)",Female,2.06575342465753,2
SHILOH,DOG,AUST KELPIE,BLACK/BROWN,Neutered,MED,2013-08-28,K15-015318,DA01,A306408,2015-08-08,2015-08-27,19,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*SEBASTOPOL,95472,"95472
(38.394388, -122.850998)",Male,1.9972602739726,1.94520547945205
*WINNIE,DOG,CHIHUAHUA LH,TAN,Spayed,TOY,2013-10-23,K15-016522,DA45,A329099,2015-10-23,2015-11-05,13,STRAY,FIELD,ADOPTION,INTERNET,TREATABLE/MANAGEABLE,TREATABLE/REHAB,SANTA ROSA,SANTA ROSA,95403,"95403
(38.486997, -122.749134)",Female,2.03561643835616,2
LUCY,DOG,AUST SHEPHERD,BLACK/TAN,Spayed,MED,2009-09-20,K17-025711,DS75,A246092,2017-10-11,2017-10-12,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404
(38.458384, -122.675588)",Female,8.06575342465753,8.06301369863014
*FRANCESCA,DOG,YORKSHIRE TERR/MIX,BLACK/TAN,Spayed,SMALL,2012-07-17,K15-014725,LOBBY,A323888,2015-07-02,2015-08-01,30,OWNER SURRENDER,FIELD,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95401,"95401
(38.446019, -122.766748)",Female,3.04109589041096,2.95890410958904
FLUFFY,DOG,POODLE MIN/MIX,WHITE,Neutered,SMALL,2013-07-19,K16-019855,DA02,A339886,2016-07-19,2016-08-04,16,STRAY,PRIV_SHELT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95404,"95404
(38.458384, -122.675588)",Male,3.04657534246575,3.0027397260274
TUCKER,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,NA,K17-025870,SMM,A362657,2017-10-17,2017-11-05,19,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404
(38.458384, -122.675588)",Male,NA,NA
OSCAR,DOG,MALTESE,TAN,Neutered,SMALL,2012-11-03,K15-016669,DA06,A329419,2015-11-03,2015-11-28,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,*CLOVERDALE,95425,"95425
(38.790859, -123.010876)",Male,3.06849315068493,3
SOPHIE,DOG,PIT BULL,TAN/WHITE,Spayed,LARGE,2013-02-12,K14-008246,DA21,A304868,2014-04-01,2014-05-23,52,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,91350,"91350
(34.432547, -118.512536)",Female,1.27397260273973,1.13150684931507
*LIBBY,DOG,PIT BULL,BLUE,Spayed,MED,2013-05-18,K15-013830,DI097,A321399,2015-05-07,2015-08-27,112,STRAY,OVER THE COUNTER,TRANSFER,PETLUMA PP,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,94951,"94951
(38.314417, -122.656863)",Female,2.27671232876712,1.96986301369863
ODIN,DOG,PIT BULL/ROTTWEILER,BLACK,Neutered,LARGE,2015-05-11,K16-021539,DS70,A344951,2016-11-11,2016-11-12,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,SANTA ROSA,95407,"95407
(38.403734, -122.736775)",Male,1.50958904109589,1.50684931506849
*MASON,DOG,LABRADOR RETR/MIX,BLACK/WHITE,Neutered,LARGE,2014-05-03,K16-021025,DA09,A342947,2016-10-05,2016-11-10,36,STRAY,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403
(38.486997, -122.749134)",Male,2.52602739726027,2.42739726027397
NEALA,DOG,LABRADOR RETR,BLACK,Spayed,X-LRG,2007-12-19,K15-017135,DS55,A330713,2015-12-12,2015-12-19,7,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,COUNTY,95404,"95404
(38.458384, -122.675588)",Female,8.00547945205479,7.98630136986301
NA,CAT,DOMESTIC MH,BRN TABBY,Unknown,SMALL,NA,K14-010748,EUTH,A311493,2014-09-11,2014-09-11,0,STRAY,FIELD,EUTHANIZE,INJ SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,NA,NA,NA,Male,NA,NA
PHOEBE,DOG,PIT BULL,BLACK/WHITE,Female,LARGE,NA,K17-022452,TRUCK,A348000,2017-02-05,2017-02-05,0,STRAY,FIELD,RETURN TO OWNER,FLD_NBR,HEALTHY,HEALTHY,SANTA ROSA,NA,NA,NA,Male,NA,NA
NA,CAT,MANX/MIX,ORG TABBY/WHITE,Unknown,KITTN,2014-04-12,K14-009287,CS06,A307947,2014-06-12,2014-06-17,5,STRAY,OVER THE COUNTER,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403
(38.486997, -122.749134)",Male,0.180821917808219,0.167123287671233
TYLER,DOG,GERM SHEPHERD/MIX,BLACK,Neutered,LARGE,2012-03-15,K16-021921,TRUCK,A289323,2016-12-17,2016-12-17,0,STRAY,FIELD,RETURN TO OWNER,FLD_IDTAG,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472
(38.394388, -122.850998)",Male,4.76164383561644,4.76164383561644
TOBY,CAT,DOMESTIC MH,ORG TABBY,Neutered,SMALL,NA,K16-018195,SMM,A334843,2016-03-24,2016-03-26,2,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,WINDSOR,WINDSOR,95492,"95492
(38.541541, -122.809202)",Male,NA,NA
STEPH FURRY,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,2015-09-09,K17-025256,CA02,A360755,2017-09-09,2017-10-07,28,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404
(38.458384, -122.675588)",Female,2.07945205479452,2.0027397260274
BO,DOG,LABRADOR RETR/MIX,BROWN,Male,LARGE,2004-12-12,K13-007001,DQ115,A300527,2013-12-12,2014-01-01,20,QUARANTINE,FIELD_OS,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,COUNTY,COUNTY,95446,"95446
(38.510032, -122.996796)",Male,9.06027397260274,9.00547945205479
MINI,CAT,DOMESTIC SH,GRAY TABBY,Spayed,SMALL,2006-01-12,K16-017433,CA02,A021485,2016-01-12,2016-01-19,7,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,BEH SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,NA,NA,NA,Female,10.0246575342466,10.0054794520548
*PERSIUS,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,2016-07-08,K16-021097,LOBBY,A343320,2016-10-08,2016-10-22,14,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401
(38.446019, -122.766748)",Male,0.29041095890411,0.252054794520548
MATEO,DOG,CHIHUAHUA SH,TAN,Male,TOY,2013-11-01,K14-010121,DQ110,A309780,2014-08-05,2014-08-28,23,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,BEH SEVERE,UNTREATABLE,UNTREATABLE,WINDSOR,NA,NA,NA,Male,0.821917808219178,0.758904109589041
*DAISY,DOG,PIT BULL/MIX,TAN/WHITE,Spayed,PUPPY,2015-10-23,K16-018060,DQ109,A334059,2016-03-12,2016-04-08,27,STRAY,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,HEALTHY,UNTREATABLE,COUNTY,NA,NA,NA,Female,0.46027397260274,0.386301369863014
BOOTS,DOG,BEAGLE,TRICOLOR,Neutered,SMALL,2009-03-03,K14-010062,DS64,A272077,2014-07-31,2014-07-31,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403
(38.486997, -122.749134)",Male,5.41369863013699,5.41369863013699
MICKEY,DOG,PIT BULL/MIX,WHITE/BLACK,Male,LARGE,NA,K17-024646,MOBILE,A315939,2017-08-01,2017-09-16,46,STRAY,PRIV_SHELT,ADOPTION,MOB EVENT,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94550,"94550
(37.617901, -121.711865)",Male,NA,NA
DUKE,DOG,LABRADOR RETR/MIX,BLACK,Neutered,MED,2011-04-25,K14-007228,DS72,A276606,2014-01-02,2014-01-02,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,COUNTY,COUNTY,95448,"95448
(38.618857, -122.861927)",Male,2.69315068493151,2.69315068493151
*MAGGIE,DOG,BORDER COLLIE/CATAHOULA,BLACK/WHITE,Spayed,PUPPY,2016-07-11,K16-020913,DA03,A342894,2016-09-27,2016-10-12,15,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94546,"94546
(37.718472, -122.084844)",Female,0.254794520547945,0.213698630136986
*ROSIE,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,2015-04-01,K15-014146,LOBBY,A322424,2015-05-26,2015-06-03,8,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492
(38.541541, -122.809202)",Female,0.172602739726027,0.150684931506849
KENZIE,DOG,POODLE TOY,WHITE,Spayed,TOY,2010-12-18,K14-012261,DS87,A267061,2014-12-31,2014-12-31,0,STRAY,PRIV_SHELT,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409
(38.458965, -122.630156)",Female,4.03835616438356,4.03835616438356
