"name","type","breed","color","sex","size","date_of_birth","impound_number","kennel_number","animal_id","intake_date","outcome_date","days_in_shelter","intake_type","intake_subtype","outcome_type","outcome_subtype","intake_condition","outcome_condition","intake_jurisdiction","outcome_jurisdiction","outcome_zip_code","location","sex_clean"
"ZEUS","DOG","BLOODHOUND","BROWN","Neutered","LARGE",2013-04-05,"K15-015929","DS74","A326919",2015-09-12,2015-09-15,3,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"","CAT","DOMESTIC SH","BUFF/WHITE","Male","KITTN",2015-07-28,"K15-015667","TX","A326395",2015-08-28,2015-09-11,14,"STRAY","OVER THE COUNTER","DIED","IN KENNEL","TREATABLE/REHAB","TREATABLE/REHAB","COUNTY",NA,NA,NA,"Male"
"CHARLIE","DOG","MALTESE/POODLE MIN","WHITE","Neutered","SMALL",2011-11-01,"K14-011552","DA06","A313280",2014-10-30,2014-11-20,21,"QUARANTINE","FLD_STRAY","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","COUNTY",95407,"95407
(38.403734, -122.736775)","Male"
"LOUIE","DOG","POMERANIAN/SCHIPPERKE","BLACK","Neutered","TOY",2008-09-20,"K14-010878","DS69","A311859",2014-09-20,2014-09-20,0,"TRANSFER","VET_HOSP","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95405,"95405
(38.439152, -122.672541)","Male"
"THOR","DOG","GERM SHEPHERD","BLACK/TAN","Male","LARGE",NA,"K17-025555","DS68","A362295",2017-10-03,2017-10-05,2,"STRAY","MUN_SHELT","RETURN TO OWNER","OVER THE COUNTER_WALKIN","HEALTHY","HEALTHY","COUNTY","COUNTY",95446,"95446
(38.510032, -122.996796)","Male"
"SUGAR","CAT","DOMESTIC LH","GRAY TABBY","Neutered","KITTN",2016-03-12,"K16-019033","LOBBY","A337668",2016-05-27,2016-06-02,6,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","COUNTY",95448,"95448
(38.618857, -122.861927)","Male"
"JESSE","DOG","PIT BULL/MIX","BLACK/WHITE","Spayed","LARGE",2014-06-16,"K16-021828","DA11","A339748",2016-12-08,2017-01-21,44,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","INTERNET","HEALTHY","HEALTHY","COUNTY","WINDSOR",95492,"95492
(38.541541, -122.809202)","Female"
"BALTO","DOG","SIBERIAN HUSKY","BLACK/WHITE","Male","LARGE",2011-01-28,"K14-011280","DS94","A266163",2014-10-15,2014-10-16,1,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_WALKIN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"ELMER","CAT","DOMESTIC SH","BUFF","Neutered","KITTN",2014-08-20,"K14-010886","CA02","A311867",2014-09-20,2014-10-29,39,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","TREATABLE/REHAB","HEALTHY","COUNTY","COUNTY",95436,"95436
(38.491884, -122.90672)","Male"
"POSEY","CAT","DOMESTIC LH","BRN TABBY/WHITE","Neutered","SMALL",2012-12-05,"K15-017023","CS04","A330256",2015-12-05,2015-12-19,14,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","WINDSOR","*ROHNERT PARK",94928,"94928
(38.346718, -122.695947)","Male"
"","CAT","DOMESTIC SH","BLACK/WHITE","Neutered","SMALL",NA,"K15-012764","CS06","A316729",2015-02-13,2015-02-20,7,"STRAY","COMM CAT","RETURN TO OWNER","COMMCAT","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95409,"95409
(38.458965, -122.630156)","Male"
"JACKSON","DOG","PARSON RUSS TER/FOX TERR SMOOTH","BROWN/TAN","Neutered","TOY",1999-04-14,"K17-023131","DS58","A351142",2017-04-14,2017-04-15,1,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","COUNTY","COUNTY",95472,"95472
(38.394388, -122.850998)","Male"
"*COSTELLO","CAT","DOMESTIC SH","BRN TABBY","Neutered","SMALL",2014-04-14,"K14-010289","LOBBY","A310169",2014-08-14,2014-08-28,14,"STRAY","COMM CAT","ADOPTION","WALKIN","HEALTHY","HEALTHY","WINDSOR","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Male"
"*PENNY","CAT","DOMESTIC SH","CALICO","Spayed","KITTN",2016-05-01,"K16-020386","CS04","A341222",2016-08-19,2016-08-25,6,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","COUNTY",95446,"95446
(38.510032, -122.996796)","Female"
"MURPHY","DOG","PIT BULL","BLACK/WHITE","Spayed","MED",2012-08-28,"K14-010502","DS94","A310734",2014-08-27,2014-08-30,3,"CONFISCATE","FLD_ARREST","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","COUNTY","WINDSOR",95492,"95492
(38.541541, -122.809202)","Female"
"*TUX","CAT","DOMESTIC SH","BLACK/WHITE","Neutered","KITTN",2014-04-09,"K14-008786","WESTFARM","A306430",2014-05-09,2014-06-27,49,"STRAY","OVER THE COUNTER","ADOPTION","WESTFARM","TREATABLE/REHAB","HEALTHY","SANTA ROSA","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"","CAT","SIAMESE","LYNX PT/BRN TABBY","Female","SMALL",NA,"K15-015673","CS06","A326411",2015-08-29,2015-09-01,3,"STRAY","COMM CAT","TRANSFER","FORGOTTEN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"ZELDA","DOG","CHIHUAHUA SH","TAN","Spayed","SMALL",2016-09-11,"K17-025069","MOBILE","A360447",2017-08-29,2017-09-16,18,"STRAY","PRIV_SHELT","ADOPTION","MOB EVENT","HEALTHY","HEALTHY","SANTA ROSA","OUT OF COUNTY",94526,"94526
(37.814603, -121.985857)","Female"
"*MANDY","DOG","DACHSHUND/MIX","BLACK/TAN","Spayed","SMALL",2016-07-29,"K16-021030","MAC","A343216",2016-10-05,2016-10-15,10,"STRAY","FIELD","ADOPTION","SPEC EVENT","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY",94585,"94585
(38.221506, -121.972404)","Female"
"CHANCE","DOG","AUST SHEPHERD","WHITE/BLACK","Neutered","MED",2007-07-25,"K17-024529","DS90","A355927",2017-07-24,2017-07-25,1,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","COUNTY","COUNTY",95404,"95404
(38.458384, -122.675588)","Male"
"NEMO","DOG","SIBERIAN HUSKY","BLACK/WHITE","Male","LARGE",2000-10-24,"K15-015497","DS78","A312358",2015-08-19,2015-08-25,6,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","COUNTY","COUNTY",95446,"95446
(38.510032, -122.996796)","Male"
"COPPER","DOG","AUST CATTLE DOG","RED/WHITE","Neutered","MED",2006-11-12,"K14-010781","DS91","A299387",2014-09-12,2014-10-04,22,"OWNER SURRENDER","OVER THE COUNTER","TRANSFER","HERD IT","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","WINDSOR","SANTA ROSA",95405,"95405
(38.439152, -122.672541)","Male"
"OMI","CAT","DOMESTIC SH","BRN TABBY/WHITE","Spayed","KITTN",2016-08-28,"K16-021043","LOBBY","A343226",2016-10-05,2016-11-29,55,"STRAY","OVER THE COUNTER","ADOPTION","INTERNET","TREATABLE/REHAB","HEALTHY","SANTA ROSA","COUNTY",95448,"95448
(38.618857, -122.861927)","Female"
"","CAT","DOMESTIC SH","BLACK/WHITE","Spayed","KITTN",NA,"K16-020968","CI02","A343048",2016-09-30,2016-10-14,14,"STRAY","COMM CAT","TRANSFER","FORGOTTEN","HEALTHY","TREATABLE/MANAGEABLE","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Female"
"JASMINE","CAT","DOMESTIC MH","BRN TABBY","Spayed","SMALL",2009-02-04,"K15-012574","CA03","A316222",2015-01-28,2015-02-05,8,"CONFISCATE","FLD_ARREST","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","SANTA ROSA",NA,NA,NA,"Female"
"*ROBBIE","DOG","POODLE MIN/SHIH TZU","BLACK/WHITE","Neutered","SMALL",2012-04-30,"K15-013658","DA04","A321018",2015-04-23,2015-05-05,12,"STRAY","FIELD","ADOPTION","INTERNET","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY",94901,"94901
(37.973771, -122.51209)","Male"
"TOWER","DOG","CHIHUAHUA SH/MIX","FAWN","Neutered","TOY",2007-01-15,"K15-013248","DS96","A318307",2015-03-19,2015-03-20,1,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","SANTA ROSA","*ROHNERT PARK",94928,"94928
(38.346718, -122.695947)","Male"
"HENNESEY","DOG","PIT BULL","BROWN/WHITE","Spayed","MED",2013-06-09,"K14-009194","DA33","A307760",2014-06-09,2014-06-26,17,"TRANSFER","PRIV_SHELT","ADOPTION","INTERNET","HEALTHY","HEALTHY","COUNTY","*PETALUMA",94952,"94952
(38.236012, -122.730241)","Female"
"RILEY","DOG","GERM SHEPHERD","BLACK/TAN","Neutered","MED",2015-06-14,"K16-021764","DI098","A345804",2016-12-02,2016-12-20,18,"STRAY","FIELD","ADOPTION","WALKIN","TREATABLE/REHAB","HEALTHY","COUNTY","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Male"
"*JENNY","CAT","DOMESTIC MH","GRAY/WHITE","Spayed","KITTN",2014-05-12,"K14-010186","CA02","A309980",2014-08-09,2014-08-15,6,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95405,"95405
(38.439152, -122.672541)","Female"
"BUBBA","DOG","GERM SHEPHERD/MIX","BLACK/TAN","Neutered","LARGE",2016-06-20,"K17-022299","DA42","A346445",2017-01-20,2017-02-17,28,"STRAY","FIELD","ADOPTION","FINDER","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"WALTER","DOG","MCNAB","BLACK/WHITE","Male","MED",NA,"K15-012925","DS69","A023819",2015-02-25,2015-02-26,1,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","COUNTY","COUNTY",95448,"95448
(38.618857, -122.861927)","Male"
"*MALLORY","DOG","GERM SHEPHERD","BLACK/TAN","Spayed","MED",2016-08-17,"K17-023157","DA13","A351204",2017-04-17,2017-05-09,22,"STRAY","FIELD","ADOPTION","SCAS WEB","HEALTHY","HEALTHY","COUNTY","WINDSOR",95492,"95492
(38.541541, -122.809202)","Female"
"","CAT","SIAMESE","LYNX PT","Unknown","KITTN",NA,"K15-014093","RECEIVING","A322318",2015-05-22,2015-05-22,0,"STRAY","OVER THE COUNTER","EUTHANIZE","INJ SEVERE","UNTREATABLE","UNTREATABLE","COUNTY",NA,NA,NA,"Male"
"PIXIE","DOG","TR WALKER HOUND","TRICOLOR","Female","MED",NA,"K16-019861","VET","A339893",2016-07-19,2016-07-21,2,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","TREATABLE/REHAB","COUNTY","COUNTY",95441,"95441
(38.729916, -122.883041)","Male"
"TANK","DOG","PIT BULL","BLUE/WHITE","Male","MED",2012-01-30,"K15-012630","DS64","A316344",2015-01-30,2015-01-31,1,"CONFISCATE","FLD_ARREST","RETURN TO OWNER","OVER THE COUNTER_NOTICE","HEALTHY","HEALTHY","COUNTY","COUNTY",95436,"95436
(38.491884, -122.90672)","Male"
"*LUNA","CAT","DOMESTIC SH","CALICO","Spayed","SMALL",2014-07-09,"K14-011168","CA02","A312590",2014-10-09,2014-10-18,9,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","COUNTY",95436,"95436
(38.491884, -122.90672)","Female"
"","CAT","DOMESTIC SH","BRN TABBY","Unknown","KITTN",NA,"K17-024072","RECEIVING","A354222",2017-06-22,2017-06-22,0,"STRAY","OVER THE COUNTER","TRANSFER","HSSC","TREATABLE/REHAB","TREATABLE/REHAB","COUNTY","COUNTY",95407,"95407
(38.403734, -122.736775)","Male"
"HUNTER","DOG","GERM SHEPHERD/MIX","BROWN","Neutered","LARGE",NA,"K17-022444","DA28","A347983",2017-02-04,2017-02-28,24,"STRAY","OVER THE COUNTER","EUTHANIZE","ILL SEVERE","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","SANTA ROSA",NA,NA,NA,"Male"
"*KODA","DOG","GERM SHEPHERD","BLACK/TAN","Spayed","LARGE",2014-05-28,"K16-021502","DA32","A344859",2016-11-08,2016-12-01,23,"STRAY","OVER THE COUNTER","ADOPTION","INTERNET","HEALTHY","HEALTHY","SANTA ROSA","COUNTY",95472,"95472
(38.394388, -122.850998)","Female"
"ROSCOE","DOG","PIT BULL/MIX","TAN","Neutered","LARGE",2009-04-07,"K14-011226","TRUCK","A305062",2014-10-13,2014-10-13,0,"STRAY","FIELD","RETURN TO OWNER","FLD_LIC","HEALTHY","HEALTHY","COUNTY","COUNTY",95472,"95472
(38.394388, -122.850998)","Male"
"COYO/KING","DOG","GERM SHEPHERD","BLACK/TAN","Male","MED",2014-03-25,"K14-010458","DS67","A310650",2014-08-25,2014-08-26,1,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_NOTICE","HEALTHY","HEALTHY","COUNTY","COUNTY",95425,"95425
(38.790859, -123.010876)","Male"
"","CAT","DOMESTIC SH","BRN TABBY/WHITE","Unknown","KITTN",NA,"K16-020175","CS06","A340634",2016-08-06,2016-08-09,3,"STRAY","OVER THE COUNTER","TRANSFER","FORGOTTEN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"ROSCOE","DOG","FOX TERR SMOOTH/MIX","BROWN","Neutered","SMALL",2004-04-09,"K14-007273","DS58","A301252",2014-01-06,2014-01-07,1,"TRANSFER","PRIV_SHELT","RETURN TO OWNER","RETURN TO OWNER","HEALTHY","HEALTHY","SANTA ROSA","COUNTY",95407,"95407
(38.403734, -122.736775)","Male"
"*BROOKE","CAT","DOMESTIC SH","BLACK/WHITE","Spayed","KITTN",2016-05-07,"K16-019193","WESTFARM","A338044",2016-06-07,2016-08-08,62,"STRAY","COMM CAT","ADOPTION","WESTFARM","TREATABLE/REHAB","HEALTHY","COUNTY","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Female"
"FAT CHANCE","DOG","AUST SHEPHERD","TRICOLOR","Neutered","MED",2008-11-06,"K16-018483","DS66","A229901",2016-04-15,2016-04-15,0,"STRAY","FIELD","RETURN TO OWNER","FLD_MCHIP","HEALTHY","HEALTHY","COUNTY","COUNTY",95448,"95448
(38.618857, -122.861927)","Male"
"COONTER","CAT","DOMESTIC SH","WHITE/BLACK","Neutered","KITTN",2014-06-27,"K14-010267","CA02","A310115",2014-08-13,2014-09-30,48,"STRAY","FIELD","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"PAN PAN","CAT","DOMESTIC SH","BLACK/WHITE","Neutered","KITTN",2016-09-13,"K16-021044","LOBBY","A343227",2016-10-05,2016-12-03,59,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","TREATABLE/REHAB","HEALTHY","SANTA ROSA","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"KONA","CAT","DOMESTIC MH","TORTIE","Spayed","SMALL",2006-08-29,"K15-015678","CS06","A326415",2015-08-29,2015-09-05,7,"OWNER SURRENDER","OVER THE COUNTER","EUTHANIZE","AGGRESSIVE","UNTREATABLE","UNTREATABLE","WINDSOR",NA,NA,NA,"Female"
"HOPE","DOG","LABRADOR RETR","BLACK","Spayed","LARGE",2011-10-19,"K16-021128","DS88","A343402",2016-10-11,2016-10-19,8,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_MCHIP","HEALTHY","HEALTHY","SANTA ROSA","COUNTY",95401,"95401
(38.446019, -122.766748)","Female"
"BELLA","DOG","BORDER COLLIE","BLACK/WHITE","Female","MED",NA,"K17-023324","TRUCK","A352201",2017-05-01,2017-05-01,0,"STRAY","FIELD","RETURN TO OWNER","FLD_MCHIP","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Male"
"MAGGIE","DOG","YORKSHIRE TERR","RED/BLACK","Spayed","SMALL",2006-09-19,"K17-025365","DS53","A361060",2017-09-18,2017-09-22,4,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_MCHIP","UNKNOWN","HEALTHY","SANTA ROSA","OUT OF COUNTY",95449,"95449
(38.945732, -123.090079)","Female"
"GIZMO","DOG","SHIH TZU/MIX","BROWN/WHITE","Neutered","TOY",2012-12-13,"K15-014683","DS74","A323871",2015-07-01,2015-07-01,0,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"KOOKY","DOG","POODLE MIN","WHITE","Male","SMALL",2005-01-01,"K16-021759","DS83","A031057",2016-12-01,2016-12-29,28,"STRAY","OVER THE COUNTER","TRANSFER","MUTTVILLE","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","SANTA ROSA","OUT OF COUNTY",94141,"94141
(37.78008, -122.420168)","Male"
"BERKLEY","DOG","GERM SHEPHERD/MIX","BROWN/TAN","Neutered","MED",2016-05-24,"K17-026026","DS74","A363667",2017-10-24,2017-10-25,1,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"MISHA","CAT","DOMESTIC SH","BRN TABBY","Spayed","KITTN",2014-08-05,"K14-011527","49ERPET","A313187",2014-10-29,2014-11-25,27,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","49ER PET","HEALTHY","HEALTHY","COUNTY","*ROHNERT PARK",94928,"94928
(38.346718, -122.695947)","Female"
"BAILEY","DOG","SIBERIAN HUSKY","BROWN/WHITE","Spayed","LARGE",2010-02-24,"K14-012088","DS63","A256836",2014-12-16,2014-12-16,0,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_PRVS","TREATABLE/REHAB","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Female"
"","DOG","LABRADOR RETR/MIX","TAN","Neutered","LARGE",NA,"K15-016974","DI097","A329960",2015-12-02,2015-12-31,29,"CONFISCATE","FLD_ARREST","EUTHANIZE","AGGRESSIVE","HEALTHY","TREATABLE/MANAGEABLE","COUNTY",NA,NA,NA,"Male"
"DOZER","DOG","PIT BULL/MIX","BROWN","Neutered","LARGE",2009-12-18,"K14-007637","DS71","A286294",2014-02-06,2014-02-13,7,"STRAY","FIELD","RETURN TO OWNER","RETURN TO OWNER","HEALTHY","HEALTHY","SANTA ROSA","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"","CAT","DOMESTIC LH","ORANGE","Neutered","SMALL",2012-10-15,"K17-025828","VET","A362612",2017-10-14,2017-10-27,13,"STRAY","FIELD","EUTHANIZE","ILL SEVERE","UNKNOWN","DEAD","COUNTY","OUT OF COUNTY",NA,NA,"Male"
"","DOG","GREAT PYRENEES","WHITE","Female","X-LRG",NA,"K15-013925","DQ111","A321537",2015-05-11,2015-05-21,10,"QUARANTINE","FIELD_RETURN TO OWNER","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","SANTA ROSA","OUT OF COUNTY",93210,"93210
(36.243008, -120.350304)","Male"
"CANELO","DOG","PIT BULL","BROWN","Neutered","LARGE",2013-11-17,"K17-022837","TRUCK","A308414",2017-03-17,2017-03-17,0,"STRAY","FIELD","RETURN TO OWNER","FLD_MCHIP","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95407,"95407
(38.403734, -122.736775)","Male"
"","CAT","DOMESTIC SH","BRN TABBY/WHITE","Spayed","SMALL",NA,"K15-014752","CS06","A323962",2015-07-04,2015-07-18,14,"STRAY","FIELD","RETURN TO OWNER","COMMCAT","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY",93406,"93406
(35.28, -120.66)","Female"
"*CHARLIE","CAT","DOMESTIC SH","BRN TABBY","Neutered","SMALL",2014-06-11,"K14-012032","LOBBY","A314778",2014-12-10,2014-12-19,9,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Male"
"BELLA","DOG","AUST SHEPHERD/BORDER COLLIE","BLACK","Female","LARGE",2012-09-03,"K17-025173","DS79","A360593",2017-09-03,2017-09-05,2,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","COUNTY","COUNTY",95403,"95403
(38.486997, -122.749134)","Male"
"*CHECKERS","DOG","LABRADOR RETR/PIT BULL","BLACK/WHITE","Neutered","LARGE",2014-07-25,"K15-014524","DA40","A323114",2015-06-19,2015-10-22,125,"STRAY","OVER THE COUNTER","ADOPTION","INTERNET","HEALTHY","HEALTHY","SANTA ROSA","*PETALUMA",94954,"94954
(38.245316, -122.59871)","Male"
"*STRATHEE","CAT","DOMESTIC SH","BLACK","Neutered","KITTN",2014-06-15,"K14-010571","DEBBIES","A311005",2014-09-02,2014-09-26,24,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","DEBBIE BTQ","HEALTHY","HEALTHY","SANTA ROSA","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"*HAILEY","DOG","PARSON RUSS TER/MIX","WHITE/BROWN","Spayed","SMALL",2011-06-25,"K14-009413","DA03","A308167",2014-06-20,2014-07-01,11,"STRAY","FIELD","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Female"
"TANZER","DOG","GERM SH POINT/MIX","LIVER/WHITE","Male","MED",NA,"K17-024241","DS88","A354681",2017-07-05,2017-07-06,1,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","COUNTY","*PETALUMA",94954,"94954
(38.245316, -122.59871)","Male"
"GEORGE","DOG","POMERANIAN/CHIHUAHUA SH","WHITE","Neutered","SMALL",2006-10-12,"K14-009152","DA01","A255431",2014-06-05,2014-06-19,14,"OWNER SURRENDER","OVER THE COUNTER","TRANSFER","RP SHELTER","HEALTHY","HEALTHY","SANTA ROSA","*ROHNERT PARK",94928,"94928
(38.346718, -122.695947)","Male"
"*LEX","CAT","DOMESTIC SH","ORG TABBY/WHITE","Neutered","KITTN",2017-07-12,"K17-025280","LOBBY","A360829",2017-09-12,2017-09-16,4,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","WALKIN","UNKNOWN","HEALTHY","SANTA ROSA","COUNTY",95412,"95412
(38.705157, -123.351858)","Male"
"PIPPA","DOG","RAT TERRIER/SHETLD SHEEPDOG","TRICOLOR","Spayed","PUPPY",2015-07-23,"K15-016725","DA04","A329562",2015-11-07,2015-11-24,17,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","COUNTY",95436,"95436
(38.491884, -122.90672)","Female"
"","DOG","GERM SHEPHERD/MIX","GRAY","Unknown","PUPPY",NA,"K14-008561","RECEIVING","A305777",2014-04-23,2014-04-23,0,"OWNER SURRENDER","OVER THE COUNTER","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","COUNTY",NA,NA,NA,"Male"
"MAX","DOG","AUST SHEPHERD/MIX","BLACK/BROWN","Neutered","MED",2015-05-25,"K17-023634","DA11","A353252",2017-05-25,2017-06-16,22,"STRAY","FIELD","ADOPTION","FINDER","TREATABLE/MANAGEABLE","HEALTHY","SANTA ROSA","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Male"
"CHLOE","DOG","PUG","TAN","Spayed","SMALL",2014-09-16,"K17-023853","DS66","A342399",2017-06-09,2017-06-13,4,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Female"
"MIKLO","DOG","MALTESE","WHITE","Neutered","TOY",2005-12-01,"K14-008074","DS49","A303975",2014-03-14,2014-03-20,6,"STRAY","OVER THE COUNTER","RETURN TO OWNER","RETURN TO OWNER","HEALTHY","HEALTHY","WINDSOR","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"MOCHA BEAR","DOG","LABRADOR RETR/MIX","CHOCOLATE","Spayed","LARGE",2009-09-19,"K17-022315","DA30","A282395",2017-01-23,2017-01-24,1,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_MCHIP","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95409,"95409
(38.458965, -122.630156)","Female"
"BITSEY","CAT","DOMESTIC SH","BLACK/WHITE","Spayed","SMALL",2008-03-07,"K14-007986","CS04","A303681",2014-03-07,2014-03-08,1,"TRANSFER","RESCUE_GRP","ADOPTION","WALKIN","HEALTHY","HEALTHY","OUT OF COUNTY","WINDSOR",95492,"95492
(38.541541, -122.809202)","Female"
"JOSIE","DOG","VIZSLA/MIX","BROWN","Spayed","MED",2008-11-18,"K16-021622","DS66","A345546",2016-11-18,2016-11-18,0,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95409,"95409
(38.458965, -122.630156)","Female"
"MR DARCY","DOG","POODLE MIN/MIX","WHITE","Neutered","SMALL",2010-01-12,"K16-018371","DS94","A305676",2016-04-07,2016-04-08,1,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_IDTAG","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"CHICA","DOG","RHOD RIDGEBACK/MIX","BROWN/WHITE","Female","MED",NA,"K13-007155","DS64","A300934",2013-12-26,2014-01-17,22,"STRAY","FIELD","RETURN TO OWNER","RETURN TO OWNER","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95407,"95407
(38.403734, -122.736775)","Male"
"","DOG","CHIHUAHUA SH/MIX","TAN","Neutered","SMALL",NA,"K14-008118","TX","A304177",2014-03-19,2014-03-23,4,"STRAY","FIELD","DIED","IN KENNEL","UNTREATABLE","DEAD","COUNTY",NA,NA,NA,"Male"
"BEAU","DOG","BORDER COLLIE/MIX","BLACK/WHITE","Neutered","MED",2014-10-13,"K15-016240","DA36","A327937",2015-10-03,2015-10-14,11,"STRAY","PRIV_SHELT","ADOPTION","FINDER","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY",91730,"91730
(34.102953, -117.583505)","Male"
"*SEAN","CAT","DOMESTIC MH","BRN TABBY","Neutered","KITTN",2014-04-11,"K14-009262","LOBBY","A307892",2014-06-11,2014-07-05,24,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
